B365Player1,B365Player2,Best of,Date,Player1Pts,Player1Rank,Player1,Player1Sets,Round,Series,Surface,Player2Pts,Player2Rank,Player2,Player2Sets,Winner
1.66,2.1,3,2014-02-12,719,69,Brands D.,0,1st Round,ATP500,Hard,968,44,Mahut N.,0,Mahut N.
1.72,2.0,3,2014-02-12,2495,12,Haas T.,0,1st Round,ATP500,Hard,1190,32,Verdasco F.,0,Haas T.
1.57,2.25,3,2014-02-12,1090,36,Nieminen J.,0,1st Round,ATP500,Hard,492,113,Thiem D.,0,Thiem D.
1.11,6.5,3,2014-02-12,2950,9,Gasquet R.,0,1st Round,ATP500,Hard,401,140,De Bakker T.,0,Gasquet R.
2.37,1.53,3,2014-02-12,1475,23,Monfils G.,0,1st Round,ATP500,Hard,5370,4,Del Potro J.M.,0,Del Potro J.M.
01.08,8.0,3,2014-02-12,4795,6,Murray A.,0,1st Round,ATP500,Hard,1108,35,Roger-Vasselin E.,0,Murray A.
1.5,2.5,3,2014-02-12,2885,10,Tsonga J.W.,0,2nd Round,ATP500,Hard,1085,37,Cilic M.,0,Cilic M.
2.37,1.53,3,2014-02-13,1443,24,Gulbis E.,0,2nd Round,ATP500,Hard,1810,19,Dimitrov G.,0,Gulbis E.
2.25,1.57,3,2014-02-13,2495,12,Haas T.,0,2nd Round,ATP500,Hard,1705,20,Janowicz J.,0,Janowicz J.
01.08,8.0,3,2014-02-13,4540,7,Berdych T.,0,2nd Round,ATP500,Hard,968,44,Mahut N.,0,Berdych T.
9.0,01.07,3,2014-02-13,412,135,Mathieu P.H.,0,2nd Round,ATP500,Hard,5370,4,Del Potro J.M.,0,Del Potro J.M.
2.1,1.66,3,2014-02-13,1330,27,Kohlschreiber P.,0,2nd Round,ATP500,Hard,2950,9,Gasquet R.,0,Kohlschreiber P.
11.0,01.05,3,2014-02-13,492,113,Thiem D.,0,2nd Round,ATP500,Hard,4795,6,Murray A.,0,Murray A.
1.28,3.5,3,2014-02-13,740,64,Sijsling I.,0,2nd Round,ATP500,Hard,380,147,Berrer M.,0,Sijsling I.
3.5,1.28,3,2014-02-14,1705,20,Janowicz J.,0,Quarterfinals,ATP500,Hard,4540,7,Berdych T.,0,Berdych T.
3.5,1.28,3,2014-02-14,1443,24,Gulbis E.,0,Quarterfinals,ATP500,Hard,5370,4,Del Potro J.M.,0,Gulbis E.
1.5,2.5,3,2014-02-14,4795,6,Murray A.,0,Quarterfinals,ATP500,Hard,1085,37,Cilic M.,0,Cilic M.
2.2,1.61,3,2014-02-14,740,64,Sijsling I.,0,Quarterfinals,ATP500,Hard,1330,27,Kohlschreiber P.,0,Sijsling I.
2.5,1.53,3,2014-02-15,1443,24,Gulbis E.,0,Semifinals,ATP500,Hard,4540,7,Berdych T.,0,Berdych T.
1.33,3.4,3,2014-02-15,1085,37,Cilic M.,0,Semifinals,ATP500,Hard,740,64,Sijsling I.,0,Cilic M.
2.75,1.44,3,2014-02-16,1085,37,Cilic M.,0,The Final,ATP500,Hard,4540,7,Berdych T.,0,Berdych T.
2.62,1.44,3,2014-02-17,714,70,Mannarino A.,0,1st Round,ATP250,Hard,652,82,Sock J.,0,Mannarino A.
1.66,2.1,3,2014-02-18,800,57,Querrey S.,0,1st Round,ATP250,Hard,1355,27,Lopez F.,0,Lopez F.
